marca,modelo,transmision,color,kilometraje,tipo_motor,capacidad_motor,carroceria,traccion,precio_en_usd,num_fotos,dias_en_catalogo,edad
Subaru,Outback,automatic,silver,190000,gasoline,2.5,universal,all,10900,9,16,10
Subaru,Outback,automatic,blue,290000,gasoline,3,universal,all,5000,12,83,18
Subaru,Forester,automatic,red,402000,gasoline,2.5,suv,all,2800,4,151,19
Subaru,Impreza,mechanical,blue,10000,gasoline,3,sedan,all,9999,9,86,21
Subaru,Legacy,automatic,black,280000,gasoline,2.5,universal,all,2134.11,14,7,19
Subaru,Outback,automatic,silver,132449,gasoline,2.5,universal,all,14700,20,67,9
Subaru,Forester,automatic,black,318280,gasoline,2.5,universal,all,3000,8,307,22
Subaru,Legacy,automatic,silver,350000,gasoline,2.5,sedan,all,4500,7,73,16
Subaru,Outback,automatic,grey,179000,gasoline,2.5,universal,all,12900,17,87,10
Subaru,Forester,automatic,silver,571317,gasoline,2.5,universal,all,4200,8,43,21
Subaru,Forester,mechanical,other,280000,gasoline,2,suv,all,6900,14,11,17
Subaru,Tribeca,automatic,grey,256000,gasoline,3.6,suv,all,8350,18,80,12
Subaru,Forester,mechanical,other,321000,gasoline,2,suv,all,4300,13,2,18
Subaru,Justy,mechanical,red,49999,gasoline,1.3,hatchback,all,1666,8,230,19
Subaru,Outback,automatic,brown,154685,gasoline,2.5,universal,all,8600,24,63,9
Subaru,Outback,automatic,black,163219,gasoline,2,universal,all,7300,17,35,16
Subaru,Outback,automatic,other,318650,gasoline,3,universal,all,7587.97,7,468,15
Subaru,Impreza,mechanical,blue,191000,gasoline,2,sedan,all,10950,12,21,15
Subaru,Forester,automatic,silver,179000,gasoline,2,suv,all,12700,14,16,6
Subaru,Forester,automatic,black,159000,gasoline,2,suv,all,16500,6,59,7
Subaru,Outback,automatic,white,257495,gasoline,2.5,universal,all,8700,10,13,12
Subaru,Tribeca,automatic,silver,241402,gasoline,3,suv,all,7500,18,188,15
Subaru,Tribeca,automatic,black,188000,gasoline,3,suv,all,8650,30,37,14
Subaru,Forester,automatic,blue,240000,gasoline,2.5,universal,all,3500,5,86,19
Subaru,Legacy,automatic,green,249448,gasoline,2.5,universal,all,3800,12,67,18
Subaru,Tribeca,automatic,other,250000,gasoline,3,suv,all,7200,7,204,13
Subaru,Outback,automatic,green,417000,gasoline,2,universal,front,1850,18,71,23
Subaru,Outback,automatic,violet,377000,gasoline,2.5,universal,all,3800,12,21,21
Subaru,Impreza,mechanical,black,300000,gasoline,2,universal,all,3000,6,581,21
Subaru,Legacy,mechanical,black,270000,gasoline,2,sedan,all,6200,10,48,16
Subaru,Forester,mechanical,green,444444,gasoline,2,universal,all,3700,6,60,21
Subaru,Legacy,automatic,black,299000,gasoline,2.2,universal,all,650,9,85,26
Subaru,Impreza,mechanical,violet,340000,gasoline,1.6,universal,all,2000,4,91,27
Subaru,Legacy,mechanical,black,123456,gasoline,2.2,sedan,all,800,6,20,29
Subaru,Impreza,mechanical,silver,118000,gasoline,2.5,sedan,all,14950,26,174,9
Subaru,Impreza,automatic,black,246113,gasoline,1.5,hatchback,all,5350,13,62,12
Subaru,Outback,automatic,green,128748,gasoline,3.6,universal,all,17059.12,24,15,4
Subaru,Legacy,mechanical,red,100000,gasoline,2,sedan,all,1700,6,91,26
Subaru,Outback,automatic,blue,342790,gasoline,2.5,universal,all,3500,14,70,21
Subaru,Forester,mechanical,silver,390000,gasoline,2,suv,all,3000,8,46,23
Subaru,Forester,automatic,black,215000,gasoline,2.5,universal,all,8100,10,1,12
Subaru,Outback,mechanical,grey,288500,gasoline,2.5,universal,all,8500,25,2,14
Subaru,Tribeca,automatic,grey,225000,gasoline,3,suv,all,7500,7,419,15
Subaru,Outback,automatic,green,310000,gasoline,2.5,liftback,all,3300,4,1,19
Subaru,Forester,automatic,white,121000,gasoline,2,suv,all,14950,16,109,6
Subaru,Forester,automatic,blue,242000,gasoline,2.5,suv,all,4490,16,10,17
Subaru,Outback,mechanical,green,286,gasoline,2.5,universal,all,2650,11,2,22
Subaru,Legacy,automatic,grey,209000,gasoline,2,sedan,all,6950,10,6,13
Subaru,Legacy,mechanical,silver,195000,gasoline,3,sedan,all,8200,12,15,14
Subaru,Outback,automatic,black,126705,gasoline,2.5,universal,all,16500,22,1,6
Subaru,Outback,automatic,other,164153,gasoline,2.5,universal,all,8500,8,1,12
Subaru,Impreza,mechanical,blue,143000,gasoline,1.5,hatchback,front,6450,12,11,11
Subaru,Outback,mechanical,white,463491,gasoline,2.5,universal,all,3150,13,56,18
Subaru,Legacy,mechanical,green,321869,gasoline,2.2,universal,all,1900,11,54,22
Subaru,Legacy,mechanical,other,250000,gasoline,2,sedan,all,4899,9,62,15
Subaru,Forester,mechanical,black,260000,gasoline,2.5,universal,all,2500,4,4,21
Subaru,Forester,mechanical,green,300000,gasoline,2,suv,all,1700,6,21,21
Subaru,Forester,automatic,red,358047,gasoline,2.5,universal,all,1800,14,261,21
Subaru,Forester,mechanical,blue,296000,gasoline,2,universal,all,6150,7,10,17
Subaru,XV,automatic,orange,183000,gasoline,2,suv,all,12900,5,91,8
Subaru,Legacy,automatic,red,116000,gasoline,2.5,sedan,all,7250,10,48,10
Subaru,Legacy,mechanical,blue,450000,gasoline,2,universal,all,900,28,9,25
Subaru,Outback,automatic,brown,180000,gasoline,2.5,universal,all,9400,8,90,12
Subaru,Forester,mechanical,black,343455,gasoline,2,universal,all,3300,1,1,19
Subaru,Legacy,automatic,white,202777,gasoline,2.5,sedan,all,8200,3,20,11
Subaru,Forester,automatic,black,230000,gasoline,2.5,suv,all,4200,6,184,19
Subaru,Justy,mechanical,red,80000,gasoline,1.2,hatchback,all,2100,7,22,28
Subaru,Legacy,automatic,green,408263,gasoline,2.5,universal,all,1499,11,82,21
Subaru,Outback,automatic,black,193,gasoline,2.5,universal,all,9800,16,10,10
Subaru,Legacy,automatic,silver,300000,gasoline,2.5,universal,all,2500,14,88,22
Subaru,Outback,mechanical,green,285000,gasoline,2.5,universal,all,3650,12,11,19
Subaru,Impreza,mechanical,red,363500,gasoline,2,universal,front,1400,8,370,26
Subaru,Legacy,mechanical,silver,127138,gasoline,2.5,sedan,all,5400,11,65,15
Subaru,XV,automatic,grey,88000,gasoline,2,suv,all,12950,15,2,6
Subaru,Forester,automatic,black,128000,gasoline,2,suv,all,15490,13,46,8
Subaru,Outback,automatic,blue,177000,gasoline,2.5,universal,all,13500,11,103,10
Subaru,Forester,mechanical,silver,350000,gasoline,2,universal,all,2000,5,158,20
Subaru,Forester,mechanical,grey,173000,gasoline,2.5,suv,all,7500,10,61,15
Subaru,Forester,automatic,blue,280000,gasoline,2.5,suv,all,5800,12,58,16
Subaru,Forester,mechanical,green,270000,gasoline,2.5,suv,front,2750,11,31,22
Subaru,Outback,automatic,other,310000,gasoline,2,universal,all,3299,20,120,24
Subaru,Legacy,mechanical,green,450000,gasoline,2,universal,all,1400,15,3,24
Subaru,Tribeca,automatic,blue,179000,gasoline,3.6,suv,all,9900,12,58,12
Subaru,Forester,automatic,silver,175000,gasoline,2.5,universal,all,15900,16,97,7
Subaru,Impreza,mechanical,blue,130000,gasoline,2.5,hatchback,all,13500,9,179,12
Subaru,Forester,automatic,silver,305000,gasoline,2.5,suv,all,3750,12,11,21
Subaru,Legacy,automatic,silver,294000,gasoline,2,universal,all,3400,19,11,21
Subaru,Outback,mechanical,violet,353000,gasoline,2.5,universal,all,4250,19,11,20
Subaru,Forester,mechanical,black,400000,gasoline,2,universal,all,5500,7,6,17
Subaru,Impreza,mechanical,green,329786,gasoline,1.6,universal,all,4100,4,60,19
Subaru,Impreza,mechanical,red,230000,gasoline,2,universal,all,7000,6,35,17
Subaru,Forester,mechanical,blue,160000,gasoline,2.5,suv,all,12600,8,30,10
Subaru,Tribeca,automatic,yellow,279000,gasoline,3.6,suv,all,5400,7,72,12
Subaru,Impreza,automatic,silver,80000,gasoline,2,sedan,all,14500,3,4,4
Subaru,Legacy,automatic,blue,394289,gasoline,2.5,universal,all,3900,6,206,18
Subaru,Outback,automatic,blue,256000,gasoline,2.5,universal,all,14227.45,7,9,8
Subaru,Outback,automatic,silver,160000,gasoline,2.5,suv,all,17000,5,71,9
Subaru,Forester,mechanical,black,218000,gasoline,2.5,suv,all,3750,22,89,23
Subaru,Forester,automatic,silver,273588,gasoline,2.5,universal,all,6000,7,76,14
Subaru,Forester,mechanical,black,103975,gasoline,2.5,suv,all,15500,12,10,9
Subaru,Legacy,mechanical,blue,330000,gasoline,2.2,sedan,all,1900,13,91,25
Subaru,Impreza,automatic,black,205328,gasoline,2.5,hatchback,all,6499,14,35,12
Subaru,Outback,automatic,blue,353624,gasoline,3,universal,all,5250,9,37,19
Subaru,Justy,mechanical,silver,170000,gasoline,1,minivan,front,5199,5,207,12
Subaru,Outback,automatic,other,370000,gasoline,2.5,universal,all,6000,10,4,16
Subaru,Forester,automatic,black,233000,gasoline,2,universal,all,6800,3,520,20
Subaru,Impreza,mechanical,green,354056,gasoline,2.2,universal,all,1900,9,24,22
Subaru,Forester,automatic,black,160000,gasoline,2.5,suv,all,8650,4,16,10
Subaru,Legacy,mechanical,silver,295000,gasoline,2,universal,all,1565.02,6,62,24
Subaru,Outback,automatic,grey,100000,gasoline,2.5,universal,all,16300,25,17,8
Subaru,Impreza,mechanical,green,180000,gasoline,2,sedan,front,6900,9,75,22
Subaru,Outback,automatic,green,60000,gasoline,2.5,universal,all,2900,9,27,19
Subaru,Legacy,mechanical,silver,185075,gasoline,2.5,sedan,all,7000,10,57,17
Subaru,Outback,automatic,blue,405555,gasoline,2.5,universal,all,4990,7,254,19
Subaru,Impreza,mechanical,other,185000,gasoline,1.5,sedan,all,6300,3,121,12
